mode,task_size,concurrency,num_task,total_secs,mean_latency_secs
Inline,1,1,1000000,14.628807221,0.000014536
Spawn,1,1,1000000,70.131650732,0.000070014
SpawnSnapshot,1,1,1000000,70.515910535,0.000070435
Spawn,1,2,1000000,36.454146357,0.000072842
SpawnSnapshot,1,2,1000000,34.752855834,0.000069437
Spawn,1,3,1000000,23.701143443,0.000071039
SpawnSnapshot,1,3,1000000,24.795963274,0.000074321
Spawn,1,4,1000000,17.578167354,0.000070249
SpawnSnapshot,1,4,1000000,16.205174331,0.000064758
Spawn,1,8,1000000,9.145880522,0.000073102
SpawnSnapshot,1,8,1000000,9.85900107,0.000078805
Spawn,1,16,1000000,6.959386102,0.000111282
SpawnSnapshot,1,16,1000000,7.103672721,0.000113592
Spawn,1,32,1000000,6.168971627,0.000197333
SpawnSnapshot,1,32,1000000,6.380862353,0.000204118
Spawn,1,64,1000000,5.5259405820000005,0.000353586
SpawnSnapshot,1,64,1000000,5.733194582,0.000366843
Inline,5,1,200000,15.707942165,0.000078435
Spawn,5,1,200000,24.669904154,0.000123269
SpawnSnapshot,5,1,200000,25.847139568,0.000129152
Spawn,5,2,200000,15.310667763,0.000153028
SpawnSnapshot,5,2,200000,14.494677235,0.000144865
Spawn,5,3,200000,10.02385664,0.000150273
SpawnSnapshot,5,3,200000,11.606722981,0.000174017
Spawn,5,4,200000,8.670318417,0.00017332
SpawnSnapshot,5,4,200000,8.550255897,0.000170922
Spawn,5,8,200000,5.912393248,0.000236407
SpawnSnapshot,5,8,200000,5.923970194,0.000236871
Spawn,5,16,200000,5.498564758,0.000439792
SpawnSnapshot,5,16,200000,5.529041622,0.000442225
Spawn,5,32,200000,5.18799358,0.000829936
SpawnSnapshot,5,32,200000,5.235830651,0.000837583
Spawn,5,64,200000,5.081678647,0.001625795
SpawnSnapshot,5,64,200000,5.158520042,0.001650336
